"Name","Nationality","Position","Team","Age","YOB","MatchedPlayed","Starts","MinutesPlayed","90s","Goals","Assists","GA","NonPenGoals","PensScored","PensAttempted","YellowCards","RedCards","xG","npxG","xAG","npxG + xAG","ProgressiveCarries","ProgressivePasses","ProgressivePassesReceived","G/90","A/90","GA/90","NonPenGoals/90","NonPenGA/90","xG/90","xAG/90","xA+xG /90","npxG/90","npXG + xAG /90","Matches","Season","Shots","ShotsOnTarget","SoT%","S/90","SoT/90","G/Shot","G/SoT","AvgShotDist","FKShots","npxG/Shot","Goals - xG","npG - npxG","PassesCompleted","PassesAttempted","PercentPassesCompleted","TotalPassingDistance","ProgressedPassingDistance","ShortPassesCompleted","ShortPassesAttempted","ShortPassesPercentCompleted","MedPassesCompleted","MedPassesAttempted","MedPassesPercentCompleted","LongPassesCompleted","LongPassesAttempted","LongPassesPercentCompleted","xA","A - xAG","KeyPasses","1/3","PPen","CPen","Progressive Passes","Tackles","TacklesWon","TklsDefThird","TklsMidThird","TklsAttThird","DribblersTackled","DribblesChallenged","DrblTkl%","ChallengesLost","Blocks","BlockedShots","BlockedPasses","Interceptions","Tackles + Interceptions","Clearances","DefensiveErrors"
"Mikkel Damsgaard","dk DEN","MF","Brentford","23-255","2000","14","2","362","4.0","0","1","1","0","0","0","0","0","0.6","0.6","0.8","1.4","6","32","18","0.00","0.25","0.25","0.00","0.25","0.15","0.19","0.34","0.15","0.34","Matches","2023/2024","4","3","75.0","0.99","0.75","0.00","0.00","13.0","0","0.15","-0.6","-0.6","142","210","67.6","2369","853","69","93","74.2","56","72","77.8","13","32","40.6","0.5","+0.2","7","24","4","1","32","14","7","7","5","2","8","22","36.4","14","8","1","7","7","21","3","1"
"Danilo","br BRA","MF,FW","Nott'ham Forest","22-320","2001","21","12","1,123","12.5","1","0","1","1","0","0","3","0","0.6","0.6","0.4","1.1","14","52","18","0.08","0.00","0.08","0.08","0.08","0.05","0.03","0.08","0.05","0.08","Matches","2023/2024","14","4","28.6","1.12","0.32","0.07","0.25","22.6","0","0.05","+0.4","+0.4","392","493","79.5","7069","1860","166","198","83.8","170","190","89.5","46","70","65.7","0.4","-0.4","5","53","10","0","52","21","10","11","9","1","13","31","41.9","18","19","5","14","19","40","27","0"
"Arnaut Danjuma","nl NED","MF,FW","Everton","27-043","1997","14","5","595","6.6","1","0","1","1","0","0","0","0","2.6","2.6","1.1","3.7","24","9","44","0.15","0.00","0.15","0.15","0.15","0.40","0.17","0.57","0.40","0.57","Matches","2023/2024","25","9","36.0","3.78","1.36","0.04","0.11","16.0","1","0.10","-1.6","-1.6","102","152","67.1","1420","357","57","69","82.6","37","54","68.5","2","7","28.6","0.4","-1.1","6","6","2","0","9","6","4","2","3","1","1","4","25.0","3","4","0","4","3","9","0","0"
"Jayden Danns","eng ENG","FW","Liverpool","18-058","2006","2","0","9","0.1","0","0","0","0","0","0","1","0","0.0","0.0","0.0","0.0","0","1","2","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Matches","2023/2024","0","0","","0.00","0.00","","","","0","","0.0","0.0","5","7","71.4","73","16","3","4","75.0","2","3","66.7","0","0","","0.0","0.0","0","0","1","0","1","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0"
"Josh Dasilva","eng ENG","DF,FW","Brentford","25-143","1998","3","0","24","0.3","0","0","0","0","0","0","0","0","0.0","0.0","0.2","0.2","2","2","5","0.00","0.00","0.00","0.00","0.00","0.00","0.72","0.72","0.00","0.72","Matches","2023/2024","0","0","","0.00","0.00","","","","0","","0.0","0.0","10","19","52.6","153","59","5","7","71.4","5","7","71.4","0","2","0.0","0.2","-0.2","1","0","0","0","2","2","1","0","1","1","0","0","","0","0","0","0","0","2","0","0"
"David Datro Fofana","ci CIV","FW","Burnley","21-083","2002","7","5","509","5.7","3","1","4","3","0","0","1","0","2.3","2.3","1.4","3.7","14","6","23","0.53","0.18","0.71","0.53","0.71","0.41","0.25","0.66","0.41","0.66","Matches","2023/2024","11","7","63.6","1.94","1.24","0.27","0.43","15.8","0","0.21","+0.7","+0.7","55","89","61.8","752","144","34","53","64.2","16","21","76.2","2","2","100.0","0.1","-0.4","4","4","2","0","6","6","3","1","3","2","1","3","33.3","2","5","2","3","0","6","0","0"
"Ben Davies","wls WAL","DF","Tottenham","30-325","1993","16","11","1,003","11.1","1","0","1","1","0","0","1","0","2.3","2.3","0.4","2.7","12","71","18","0.09","0.00","0.09","0.09","0.09","0.21","0.03","0.24","0.21","0.24","Matches","2023/2024","12","2","16.7","1.08","0.18","0.08","0.50","11.8","0","0.19","-1.3","-1.3","730","804","90.8","13349","5172","280","300","93.3","377","398","94.7","60","79","75.9","0.5","-0.4","4","79","4","0","71","21","17","13","6","2","15","18","83.3","3","16","14","2","10","31","33","0"
"Tom Davies","eng ENG","MF","Sheffield Utd","25-258","1998","9","2","221","2.5","0","0","0","0","0","0","2","0","0.4","0.4","0.1","0.4","3","8","3","0.00","0.00","0.00","0.00","0.00","0.14","0.03","0.17","0.14","0.17","Matches","2023/2024","4","1","25.0","1.63","0.41","0.00","0.00","15.4","0","0.09","-0.4","-0.4","68","99","68.7","901","310","41","50","82.0","20","27","74.1","2","7","28.6","0.2","-0.1","1","6","1","0","8","10","5","4","3","3","3","9","33.3","6","2","1","1","3","13","6","1"
"Craig Dawson","eng ENG","DF","Wolves","33-313","1990","25","25","2,209","24.5","1","1","2","1","0","0","7","0","1.5","1.5","1.4","2.9","1","49","4","0.04","0.04","0.08","0.04","0.08","0.06","0.06","0.12","0.06","0.12","Matches","2023/2024","16","5","31.3","0.65","0.20","0.06","0.20","11.2","0","0.09","-0.5","-0.5","1104","1277","86.5","23417","8062","296","333","88.9","640","679","94.3","158","237","66.7","0.6","-0.4","9","52","2","0","49","30","20","23","6","1","22","34","64.7","12","51","39","12","16","46","120","1"
"Kevin De Bruyne","be BEL","MF","Manchester City","32-260","1991","9","6","493","5.5","1","5","6","1","0","0","1","0","1.0","1.0","5.2","6.3","24","52","61","0.18","0.91","1.10","0.18","1.10","0.19","0.95","1.14","0.19","1.14","Matches","2023/2024","18","4","22.2","3.29","0.73","0.06","0.25","22.7","4","0.06","0.0","0.0","332","457","72.6","5398","1675","190","214","88.8","102","141","72.3","35","77","45.5","2.5","-0.2","27","32","28","7","52","4","3","1","1","2","4","9","44.4","5","2","0","2","2","6","1","0"
"Hannes Delcroix","be BEL","DF","Burnley","25-015","1999","12","5","589","6.5","0","0","0","0","0","0","2","0","0.4","0.4","0.2","0.6","2","18","6","0.00","0.00","0.00","0.00","0.00","0.05","0.03","0.09","0.05","0.09","Matches","2023/2024","4","2","50.0","0.61","0.31","0.00","0.00","11.2","0","0.09","-0.4","-0.4","300","350","85.7","4932","1666","145","155","93.5","135","154","87.7","16","31","51.6","0.1","-0.2","4","24","3","2","18","10","6","6","4","0","3","4","75.0","1","9","3","6","9","19","26","0"
"Leander Dendoncker","be BEL","MF","Aston Villa","28-334","1995","8","1","119","1.3","1","0","1","1","0","0","0","0","0.7","0.7","0.0","0.7","0","3","2","0.76","0.00","0.76","0.76","0.76","0.56","0.00","0.56","0.56","0.56","Matches","2023/2024","2","1","50.0","1.51","0.76","0.50","1.00","12.5","0","0.37","+0.3","+0.3","45","56","80.4","744","139","24","28","85.7","19","22","86.4","2","4","50.0","0.0","0.0","0","1","0","0","3","6","4","3","2","1","4","5","80.0","1","5","2","3","2","8","3","1"
"Moussa Diaby","fr FRA","FW,MF","Aston Villa","24-251","1999","28","18","1,526","17.0","4","5","9","4","0","0","1","0","5.0","5.0","4.8","9.9","69","49","145","0.24","0.29","0.53","0.24","0.53","0.30","0.28","0.58","0.30","0.58","Matches","2023/2024","41","16","39.0","2.42","0.94","0.10","0.25","16.0","0","0.12","-1.0","-1.0","360","451","79.8","5239","951","205","241","85.1","128","160","80.0","14","25","56.0","3.4","+0.2","33","21","32","9","49","7","2","2","4","1","3","11","27.3","8","7","0","7","5","12","4","0"
