"Name","Nationality","Position","Team","Age","YOB","MatchedPlayed","Starts","MinutesPlayed","90s","Goals","Assists","GA","NonPenGoals","PensScored","PensAttempted","YellowCards","RedCards","xG","npxG","xAG","npxG + xAG","ProgressiveCarries","ProgressivePasses","ProgressivePassesReceived","G/90","A/90","GA/90","NonPenGoals/90","NonPenGA/90","xG/90","xAG/90","xA+xG /90","npxG/90","npXG + xAG /90","Matches","Season","Shots","ShotsOnTarget","SoT%","S/90","SoT/90","G/Shot","G/SoT","AvgShotDist","FKShots","npxG/Shot","Goals - xG","npG - npxG","PassesCompleted","PassesAttempted","PercentPassesCompleted","TotalPassingDistance","ProgressedPassingDistance","ShortPassesCompleted","ShortPassesAttempted","ShortPassesPercentCompleted","MedPassesCompleted","MedPassesAttempted","MedPassesPercentCompleted","LongPassesCompleted","LongPassesAttempted","LongPassesPercentCompleted","xA","A - xAG","KeyPasses","1/3","PPen","CPen","Progressive Passes","Tackles","TacklesWon","TklsDefThird","TklsMidThird","TklsAttThird","DribblersTackled","DribblesChallenged","DrblTkl%","ChallengesLost","Blocks","BlockedShots","BlockedPasses","Interceptions","Tackles + Interceptions","Clearances","DefensiveErrors"
"Luke Thomas","eng ENG","DF","Leicester City","19","2001","14","12","969","10.8","1","0","1","1","0","0","2","0","0.3","0.3","0.7","1.0","15","27","45","0.09","0.00","0.09","0.09","0.09","0.03","0.06","0.09","0.03","0.09","Matches","2020/2021","7","3","42.9","0.65","0.28","0.14","0.33","13.7","0","0.04","+0.7","+0.7","358","498","71.9","4934","1734","216","260","83.1","106","148","71.6","14","38","36.8","0.4","-0.7","7","19","7","2","27","23","14","11","5","7","14","21","66.7","7","15","2","13","17","40","21","0"
"Youri Tielemans","be BEL","MF","Leicester City","23","1997","38","37","3,357","37.3","6","4","10","4","2","2","6","0","4.4","2.8","3.1","5.9","52","272","66","0.16","0.11","0.27","0.11","0.21","0.12","0.08","0.20","0.08","0.16","Matches","2020/2021","47","18","38.3","1.26","0.48","0.09","0.22","23.5","4","0.06","+1.6","+1.2","2061","2642","78.0","35122","9750","905","1022","88.6","847","1010","83.9","206","424","48.6","4.0","+0.9","49","223","41","7","272","86","45","32","38","16","45","108","41.7","63","35","8","27","46","132","20","1"
"Kieran Tierney","sct SCO","DF","Arsenal","23","1997","27","26","2,299","25.5","1","3","4","1","0","0","4","0","0.5","0.5","3.5","4.0","82","95","194","0.04","0.12","0.16","0.04","0.16","0.02","0.14","0.16","0.02","0.16","Matches","2020/2021","15","3","20.0","0.59","0.12","0.07","0.33","24.0","0","0.03","+0.5","+0.5","1130","1523","74.2","18434","5120","571","651","87.7","470","614","76.5","72","191","37.7","2.7","-0.5","31","64","31","15","95","27","15","5","14","8","11","31","35.5","20","31","10","21","16","43","63","0"
"James Tomkins","eng ENG","DF","Crystal Palace","31","1989","8","6","553","6.1","0","0","0","0","0","0","1","0","0.2","0.2","0.3","0.5","0","5","1","0.00","0.00","0.00","0.00","0.00","0.03","0.05","0.08","0.03","0.08","Matches","2020/2021","2","1","50.0","0.33","0.16","0.00","0.00","9.9","0","0.09","-0.2","-0.2","140","182","76.9","2724","1051","56","62","90.3","68","76","89.5","16","42","38.1","0.3","-0.3","1","10","0","0","5","4","2","4","0","0","3","4","75.0","1","4","3","1","4","8","45","0"
"Fikayo Tomori","eng ENG","DF","Chelsea","22","1997","1","0","45","0.5","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Matches","2020/2021","0","0","","0.00","0.00","","","","0","","0.0","0.0","28","29","96.6","527","155","7","7","100.0","20","20","100.0","0","1","0.0","0.0","0.0","0","0","0","0","0","2","1","2","0","0","0","0","","0","1","1","0","2","4","8","0"
"Ferrán Torres","es ESP","FW,MF","Manchester City","20","2000","24","15","1,306","14.5","7","2","9","7","0","0","1","0","4.9","4.9","2.2","7.1","30","31","118","0.48","0.14","0.62","0.48","0.62","0.33","0.15","0.49","0.33","0.49","Matches","2020/2021","36","14","38.9","2.48","0.96","0.19","0.50","15.6","0","0.13","+2.1","+2.1","353","445","79.3","4935","789","216","242","89.3","99","123","80.5","17","39","43.6","1.7","-0.2","19","12","13","1","31","12","5","4","6","2","5","16","31.3","11","16","0","16","3","15","8","0"
"Cenk Tosun","tr TUR","FW","Everton","29","1991","5","0","48","0.5","0","0","0","0","0","0","1","0","0.0","0.0","0.1","0.1","0","0","4","0.00","0.00","0.00","0.00","0.00","0.00","0.12","0.12","0.00","0.12","Matches","2020/2021","0","0","","0.00","0.00","","","","0","","0.0","0.0","10","15","66.7","149","12","3","5","60.0","4","4","100.0","1","2","50.0","0.0","-0.1","1","0","0","0","0","0","0","0","0","0","0","1","0.0","1","0","0","0","0","0","0","0"
"Andros Townsend","eng ENG","MF,FW","Crystal Palace","29","1991","34","25","2,258","25.1","1","5","6","1","0","0","0","0","2.3","2.3","4.0","6.2","72","75","112","0.04","0.20","0.24","0.04","0.24","0.09","0.16","0.25","0.09","0.25","Matches","2020/2021","36","11","30.6","1.43","0.44","0.03","0.09","22.6","4","0.06","-1.3","-1.3","578","871","66.4","9075","3523","327","374","87.4","141","222","63.5","71","170","41.8","3.9","+1.0","40","42","41","22","75","78","41","45","20","13","30","79","38.0","49","48","2","46","41","119","19","0"
"Conor Townsend","eng ENG","DF","West Brom","27","1993","25","25","2,234","24.8","0","2","2","0","0","0","0","0","1.1","1.1","2.7","3.7","37","113","74","0.00","0.08","0.08","0.00","0.08","0.04","0.11","0.15","0.04","0.15","Matches","2020/2021","11","4","36.4","0.44","0.16","0.00","0.00","17.4","2","0.10","-1.1","-1.1","883","1196","73.8","15009","7163","389","451","86.3","390","503","77.5","78","181","43.1","2.0","-0.7","23","82","26","12","113","44","28","32","9","3","30","49","61.2","19","38","15","23","36","80","55","2"
"Adama Traoré","es ESP","FW,MF","Wolves","24","1996","37","28","2,649","29.4","2","2","4","2","0","0","4","0","2.0","2.0","4.8","6.9","219","70","220","0.07","0.07","0.14","0.07","0.14","0.07","0.16","0.23","0.07","0.23","Matches","2020/2021","43","13","30.2","1.46","0.44","0.05","0.15","19.7","0","0.05","0.0","0.0","572","873","65.5","8290","1985","338","418","80.9","175","277","63.2","35","75","46.7","3.8","-2.8","55","36","30","18","70","28","16","11","13","4","13","21","61.9","8","23","1","22","7","35","12","1"
"Bertrand Traoré","bf BFA","FW","Aston Villa","24","1995","36","29","2,317","25.7","7","6","13","7","0","0","1","0","6.6","6.6","4.3","10.9","51","77","125","0.27","0.23","0.50","0.27","0.50","0.26","0.17","0.42","0.26","0.42","Matches","2020/2021","64","23","35.9","2.49","0.89","0.11","0.30","16.7","2","0.10","+0.4","+0.4","569","808","70.4","9814","2435","288","352","81.8","184","245","75.1","77","150","51.3","3.3","+1.7","35","32","26","5","77","26","10","8","10","8","10","34","29.4","24","23","1","22","15","41","14","1"
"Trézéguet","eg EGY","FW","Aston Villa","25","1994","21","12","1,166","13.0","2","1","3","2","0","0","0","0","3.8","3.8","2.1","5.9","31","35","79","0.15","0.08","0.23","0.15","0.23","0.29","0.16","0.46","0.29","0.46","Matches","2020/2021","35","12","34.3","2.70","0.93","0.06","0.17","14.2","0","0.11","-1.8","-1.8","223","317","70.3","3261","947","126","155","81.3","66","91","72.5","13","29","44.8","1.1","-1.1","13","21","5","3","35","33","18","14","15","4","13","45","28.9","32","13","1","12","19","52","17","0"
"Leandro Trossard","be BEL","MF,FW","Brighton","25","1994","35","30","2,607","29.0","5","5","10","5","0","0","2","0","4.6","4.6","4.9","9.5","73","142","219","0.17","0.17","0.35","0.17","0.35","0.16","0.17","0.33","0.16","0.33","Matches","2020/2021","58","23","39.7","2.00","0.79","0.09","0.22","18.6","2","0.08","+0.4","+0.4","816","1094","74.6","13988","3742","389","471","82.6","302","375","80.5","93","141","66.0","5.9","+0.1","50","80","58","10","142","33","14","11","16","6","10","36","27.8","26","34","2","32","26","59","7","1"
"Kostas Tsimikas","gr GRE","DF,FW","Liverpool","24","1996","2","0","7","0.1","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","1","0","3","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Matches","2020/2021","0","0","","0.00","0.00","","","","0","","0.0","0.0","6","9","66.7","103","0","3","3","100.0","3","4","75.0","0","1","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0"
"Axel Tuanzebe","eng ENG","DF","Manchester Utd","22","1997","9","4","404","4.5","0","0","0","0","0","0","2","0","0.0","0.0","0.0","0.0","3","13","3","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Matches","2020/2021","0","0","","0.00","0.00","","","","0","","0.0","0.0","239","270","88.5","4427","1175","89","99","89.9","117","126","92.9","29","37","78.4","0.0","0.0","0","10","0","0","13","13","7","5","7","1","8","9","88.9","1","7","5","2","3","16","18","0"
"Cengiz Ünder","tr TUR","FW,MF","Leicester City","23","1997","9","1","281","3.1","0","2","2","0","0","0","0","0","0.3","0.3","1.6","1.9","12","7","39","0.00","0.64","0.64","0.00","0.64","0.09","0.51","0.59","0.09","0.59","Matches","2020/2021","9","1","11.1","2.88","0.32","0.00","0.00","23.3","0","0.03","-0.3","-0.3","91","130","70.0","1255","360","46","57","80.7","24","32","75.0","6","15","40.0","1.3","+0.4","6","8","6","2","7","4","1","0","3","1","3","5","60.0","2","3","0","3","2","6","0","0"
"Yan Valery","tn TUN","DF,MF","Southampton","21","1999","3","1","103","1.1","0","0","0","0","0","0","0","0","0.2","0.2","0.1","0.2","6","3","9","0.00","0.00","0.00","0.00","0.00","0.16","0.05","0.21","0.16","0.21","Matches","2020/2021","2","0","0.0","1.75","0.00","0.00","","25.0","0","0.09","-0.2","-0.2","54","64","84.4","831","266","27","28","96.4","24","28","85.7","1","3","33.3","0.1","-0.1","1","1","3","2","3","5","3","2","3","0","1","5","20.0","4","2","0","2","2","7","5","0"
"Virgil van Dijk","nl NED","DF","Liverpool","29","1991","5","5","370","4.1","1","0","1","1","0","0","1","0","0.2","0.2","0.0","0.2","0","30","1","0.24","0.00","0.24","0.24","0.24","0.06","0.00","0.06","0.06","0.06","Matches","2020/2021","4","2","50.0","0.97","0.49","0.25","0.50","14.8","0","0.06","+0.8","+0.8","307","342","89.8","6110","2077","104","113","92.0","166","175","94.9","36","52","69.2","0.0","0.0","0","22","0","0","30","3","2","1","2","0","0","0","","0","1","1","0","5","8","8","1"
"Jamie Vardy","eng ENG","FW","Leicester City","33","1987","34","31","2,840","31.6","15","9","24","7","8","9","1","0","19.9","12.8","4.7","17.5","57","31","202","0.48","0.29","0.76","0.22","0.51","0.63","0.15","0.78","0.41","0.55","Matches","2020/2021","73","28","38.4","2.31","0.89","0.10","0.25","14.4","0","0.18","-4.9","-5.8","295","458","64.4","3826","673","180","255","70.6","84","123","68.3","9","18","50.0","3.1","+4.3","28","12","10","0","31","18","12","1","8","9","2","15","13.3","13","14","5","9","4","22","32","0"
"Joël Veltman","nl NED","DF","Brighton","28","1992","28","25","2,281","25.3","1","1","2","1","0","0","3","0","1.1","1.1","1.7","2.8","39","136","99","0.04","0.04","0.08","0.04","0.08","0.04","0.07","0.11","0.04","0.11","Matches","2020/2021","14","4","28.6","0.55","0.16","0.07","0.25","16.1","0","0.08","-0.1","-0.1","1166","1537","75.9","20626","8311","505","580","87.1","530","686","77.3","110","205","53.7","1.6","-0.7","22","100","34","14","136","67","33","34","25","8","29","57","50.9","28","24","5","19","33","100","64","0"
"Jannik Vestergaard","dk DEN","DF","Southampton","27","1992","30","29","2,574","28.6","3","0","3","3","0","0","3","1","1.5","1.5","0.5","2.1","14","82","2","0.10","0.00","0.10","0.10","0.10","0.05","0.02","0.07","0.05","0.07","Matches","2020/2021","23","8","34.8","0.80","0.28","0.13","0.38","11.9","0","0.07","+1.5","+1.5","1476","1775","83.2","26623","11504","639","706","90.5","679","767","88.5","143","257","55.6","0.8","-0.5","7","90","12","1","82","50","31","31","15","4","35","52","67.3","17","29","16","13","42","92","122","0"
"Rúben Vinagre","pt POR","MF,DF","Wolves","21","1999","2","1","173","1.9","0","0","0","0","0","0","0","0","0.0","0.0","0.1","0.1","4","2","11","0.00","0.00","0.00","0.00","0.00","0.00","0.03","0.03","0.00","0.03","Matches","2020/2021","0","0","","0.00","0.00","","","","0","","0.0","0.0","86","101","85.1","1206","272","48","53","90.6","27","34","79.4","4","5","80.0","0.1","-0.1","1","2","2","2","2","7","5","5","2","0","3","4","75.0","1","3","0","3","2","9","4","0"
"Carlos Vinícius","br BRA","FW","Tottenham","25","1995","9","3","308","3.4","1","0","1","1","0","0","2","0","1.2","1.2","0.1","1.3","1","2","12","0.29","0.00","0.29","0.29","0.29","0.36","0.02","0.39","0.36","0.39","Matches","2020/2021","7","4","57.1","2.05","1.17","0.14","0.25","12.1","0","0.18","-0.2","-0.2","24","48","50.0","300","52","15","25","60.0","6","12","50.0","1","3","33.3","0.1","-0.1","2","2","0","0","2","3","1","2","1","0","1","1","100.0","0","0","0","0","2","5","5","0"
"João Virgínia","pt POR","GK","Everton","20","1999","1","0","48","0.5","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Matches","2020/2021","0","0","","0.00","0.00","","","","0","","0.0","0.0","8","16","50.0","272","248","0","0","","4","4","100.0","4","11","36.4","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0"
"Vitinha","pt POR","MF","Wolves","20","2000","19","5","520","5.8","0","1","1","0","0","0","0","0","0.5","0.5","0.6","1.2","11","20","18","0.00","0.17","0.17","0.00","0.17","0.09","0.11","0.20","0.09","0.20","Matches","2020/2021","8","4","50.0","1.38","0.69","0.00","0.00","22.6","0","0.07","-0.5","-0.5","302","346","87.3","4427","776","172","188","91.5","92","102","90.2","22","31","71.0","0.7","+0.4","12","26","4","1","20","7","3","2","5","0","3","8","37.5","5","3","0","3","3","10","1","0"
"Jake Vokins","eng ENG","DF","Southampton","20","2000","1","1","66","0.7","0","0","0","0","0","0","0","0","0.0","0.0","0.1","0.1","1","3","2","0.00","0.00","0.00","0.00","0.00","0.00","0.08","0.08","0.00","0.08","Matches","2020/2021","0","0","","0.00","0.00","","","","0","","0.0","0.0","19","23","82.6","370","119","5","7","71.4","13","13","100.0","1","2","50.0","0.1","-0.1","1","0","1","1","3","0","0","0","0","0","0","1","0.0","1","0","0","0","0","0","0","0"
"Matej Vydra","cz CZE","FW","Burnley","28","1992","28","15","1,371","15.2","3","2","5","3","0","0","0","0","5.2","5.2","1.8","7.0","19","19","112","0.20","0.13","0.33","0.20","0.33","0.34","0.12","0.46","0.34","0.46","Matches","2020/2021","35","9","25.7","2.30","0.59","0.09","0.33","13.7","0","0.15","-2.2","-2.2","170","240","70.8","1735","326","123","157","78.3","19","28","67.9","5","10","50.0","1.1","+0.2","14","9","9","0","19","9","5","2","4","3","1","8","12.5","7","8","1","7","6","15","5","0"
"Theo Walcott","eng ENG","MF,FW","Southampton","31","1989","21","20","1,618","18.0","3","3","6","3","0","0","0","0","2.3","2.3","1.0","3.3","37","37","105","0.17","0.17","0.33","0.17","0.33","0.13","0.06","0.18","0.13","0.18","Matches","2020/2021","29","11","37.9","1.61","0.61","0.10","0.27","20.2","0","0.08","+0.7","+0.7","304","432","70.4","3913","874","187","229","81.7","82","122","67.2","10","22","45.5","1.3","+2.0","17","13","13","2","37","23","11","8","9","6","11","32","34.4","21","16","0","16","14","37","5","0"
"Theo Walcott","eng ENG","FW","Everton","31","1989","1","0","13","0.1","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","1","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Matches","2020/2021","0","0","","0.00","0.00","","","","0","","0.0","0.0","1","1","100.0","8","4","1","1","100.0","0","0","","0","0","","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0"
"Kyle Walker","eng ENG","DF","Manchester City","30","1990","24","22","1,946","21.6","1","1","2","1","0","0","1","0","0.3","0.3","0.6","0.9","80","130","71","0.05","0.05","0.09","0.05","0.09","0.01","0.03","0.04","0.01","0.04","Matches","2020/2021","10","3","30.0","0.46","0.14","0.10","0.33","29.2","0","0.03","+0.7","+0.7","1709","1941","88.0","29726","7602","782","828","94.4","741","819","90.5","147","202","72.8","0.8","+0.4","7","183","12","2","130","29","19","15","12","2","16","24","66.7","8","19","7","12","14","43","28","0"
"Kyle Walker-Peters","eng ENG","DF","Southampton","23","1997","30","30","2,645","29.4","0","2","2","0","0","0","4","0","1.0","1.0","1.2","2.2","92","89","112","0.00","0.07","0.07","0.00","0.07","0.04","0.04","0.08","0.04","0.08","Matches","2020/2021","18","7","38.9","0.61","0.24","0.00","0.00","18.8","0","0.06","-1.0","-1.0","1321","1669","79.1","19144","6069","744","835","89.1","462","591","78.2","53","115","46.1","1.2","+0.8","16","67","18","1","89","83","53","56","25","2","34","57","59.6","23","41","10","31","38","121","66","2"
"Aaron Wan-Bissaka","eng ENG","DF","Manchester Utd","22","1997","34","34","3,060","34.0","2","4","6","2","0","0","3","0","0.9","0.9","2.3","3.2","89","145","176","0.06","0.12","0.18","0.06","0.18","0.03","0.07","0.09","0.03","0.09","Matches","2020/2021","7","4","57.1","0.21","0.12","0.29","0.50","15.2","0","0.14","+1.1","+1.1","1805","2147","84.1","24032","8316","1179","1281","92.0","516","618","83.5","43","90","47.8","2.1","+1.7","31","93","32","13","145","88","54","53","29","6","32","45","71.1","13","65","17","48","62","150","84","2"
"Joel Ward","eng ENG","DF","Crystal Palace","30","1989","26","25","2,256","25.1","0","1","1","0","0","0","5","0","0.1","0.1","0.6","0.6","20","83","35","0.00","0.04","0.04","0.00","0.04","0.00","0.02","0.02","0.00","0.02","Matches","2020/2021","2","1","50.0","0.08","0.04","0.00","0.00","26.2","0","0.03","-0.1","-0.1","793","1104","71.8","11724","5878","463","541","85.6","249","348","71.6","54","140","38.6","0.5","+0.4","7","66","9","2","83","43","25","29","14","0","24","42","57.1","18","27","8","19","41","84","87","2"
"James Ward-Prowse","eng ENG","MF","Southampton","25","1994","38","38","3,420","38.0","8","7","15","5","3","4","5","0","5.7","2.5","3.9","6.4","34","189","51","0.21","0.18","0.39","0.13","0.32","0.15","0.10","0.25","0.07","0.17","Matches","2020/2021","39","20","51.3","1.03","0.53","0.13","0.25","26.8","20","0.06","+2.3","+2.5","2173","2712","80.1","34117","9745","1152","1259","91.5","772","891","86.6","166","409","40.6","4.3","+3.1","60","155","22","3","189","75","49","30","41","4","29","70","41.4","41","36","4","32","42","117","60","0"
"Ollie Watkins","eng ENG","FW","Aston Villa","24","1995","37","37","3,328","37.0","14","5","19","13","1","2","4","1","14.5","13.0","5.3","18.3","84","55","290","0.38","0.14","0.51","0.35","0.49","0.39","0.14","0.53","0.35","0.49","Matches","2020/2021","95","43","45.3","2.57","1.16","0.14","0.30","13.7","0","0.14","-0.5","0.0","592","843","70.2","6928","1260","407","527","77.2","120","169","71.0","12","24","50.0","3.8","-0.3","45","38","23","4","55","29","17","5","16","8","10","33","30.3","23","21","2","19","7","36","24","0"
"Caleb Watts","au AUS","MF","Southampton","18","2002","3","0","39","0.4","0","0","0","0","0","0","1","0","0.0","0.0","0.0","0.0","0","0","2","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Matches","2020/2021","0","0","","0.00","0.00","","","","0","","0.0","0.0","8","13","61.5","135","32","6","9","66.7","1","2","50.0","1","1","100.0","0.0","0.0","0","0","1","1","0","2","1","2","0","0","1","2","50.0","1","0","0","0","0","2","0","0"
"Adam Webster","eng ENG","DF","Brighton","25","1995","29","29","2,594","28.8","1","0","1","1","0","0","4","0","2.0","2.0","0.2","2.2","42","133","4","0.03","0.00","0.03","0.03","0.03","0.07","0.01","0.08","0.07","0.08","Matches","2020/2021","25","7","28.0","0.87","0.24","0.04","0.14","13.8","0","0.08","-1.0","-1.0","1508","1866","80.8","28793","10639","528","620","85.2","805","912","88.3","153","277","55.2","0.6","-0.2","5","125","7","0","133","29","16","15","10","4","12","25","48.0","13","29","16","13","47","76","92","3"
"Danny Welbeck","eng ENG","FW","Brighton","29","1990","24","17","1,545","17.2","6","1","7","6","0","1","0","0","6.6","5.8","2.8","8.7","21","25","98","0.35","0.06","0.41","0.35","0.41","0.39","0.16","0.55","0.34","0.50","Matches","2020/2021","34","15","44.1","1.98","0.87","0.18","0.40","13.1","0","0.18","-0.6","+0.2","209","262","79.8","2565","548","142","163","87.1","44","52","84.6","5","9","55.6","1.4","-1.8","22","13","5","0","25","12","6","2","6","4","7","19","36.8","12","17","0","17","7","19","13","0"
"Timo Werner","de GER","FW,MF","Chelsea","24","1996","35","29","2,602","28.9","6","8","14","6","0","0","2","0","11.4","11.4","5.6","17.0","103","69","238","0.21","0.28","0.48","0.21","0.48","0.39","0.19","0.59","0.39","0.59","Matches","2020/2021","79","31","39.2","2.73","1.07","0.08","0.19","13.8","0","0.14","-5.4","-5.4","629","824","76.3","8141","1532","380","462","82.3","185","223","83.0","16","35","45.7","3.2","+2.4","36","36","23","5","69","20","9","6","11","3","7","43","16.3","36","23","1","22","8","28","8","0"
"Ashley Westwood","eng ENG","MF","Burnley","30","1990","38","38","3,410","37.9","3","3","6","3","0","0","7","0","1.2","1.2","6.8","8.0","21","231","39","0.08","0.08","0.16","0.08","0.16","0.03","0.18","0.21","0.03","0.21","Matches","2020/2021","20","7","35.0","0.53","0.18","0.15","0.43","23.5","1","0.06","+1.8","+1.8","1662","2246","74.0","30441","10365","686","778","88.2","667","842","79.2","229","486","47.1","6.9","-3.8","53","204","83","13","231","23","15","6","12","5","10","42","23.8","32","26","9","17","44","67","33","0"
"Ben White","eng ENG","DF,MF","Brighton","22","1997","36","36","3,191","35.5","0","0","0","0","0","0","5","1","0.5","0.5","0.9","1.4","50","149","38","0.00","0.00","0.00","0.00","0.00","0.01","0.03","0.04","0.01","0.04","Matches","2020/2021","10","1","10.0","0.28","0.03","0.00","0.00","16.8","0","0.05","-0.5","-0.5","1491","1812","82.3","27469","9044","574","638","90.0","759","849","89.4","131","261","50.2","2.2","-0.9","8","117","20","1","149","49","26","21","24","4","24","57","42.1","33","46","22","24","62","111","56","0"
"Georginio Wijnaldum","nl NED","MF","Liverpool","29","1990","38","34","2,941","32.7","2","0","2","2","0","0","1","0","2.6","2.6","1.4","3.9","62","133","59","0.06","0.00","0.06","0.06","0.06","0.08","0.04","0.12","0.08","0.12","Matches","2020/2021","31","9","29.0","0.95","0.28","0.06","0.22","17.8","1","0.08","-0.6","-0.6","1644","1778","92.5","23655","5104","964","1021","94.4","537","572","93.9","74","86","86.0","1.9","-1.4","21","125","16","1","133","23","7","6","14","3","7","31","22.6","24","18","3","15","26","49","18","1"
"Brandon Williams","eng ENG","DF","Manchester Utd","19","2000","4","2","188","2.1","0","0","0","0","0","0","0","0","0.2","0.2","0.0","0.3","5","5","7","0.00","0.00","0.00","0.00","0.00","0.11","0.02","0.13","0.11","0.13","Matches","2020/2021","1","1","100.0","0.48","0.48","0.00","0.00","11.8","0","0.23","-0.2","-0.2","120","143","83.9","1837","625","64","69","92.8","45","57","78.9","5","6","83.3","0.1","0.0","1","3","2","1","5","0","0","0","0","0","0","1","0.0","1","1","0","1","1","1","7","0"
"Neco Williams","wls WAL","DF","Liverpool","19","2001","6","3","249","2.8","0","0","0","0","0","0","1","0","0.1","0.1","0.2","0.3","10","14","29","0.00","0.00","0.00","0.00","0.00","0.03","0.06","0.09","0.03","0.09","Matches","2020/2021","2","0","0.0","0.72","0.00","0.00","","17.2","0","0.04","-0.1","-0.1","151","210","71.9","2050","629","104","116","89.7","41","53","77.4","5","24","20.8","0.1","-0.2","3","7","1","1","14","6","5","4","2","0","5","9","55.6","4","3","1","2","6","12","6","0"
"Rhys Williams","eng ENG","DF","Liverpool","19","2001","9","7","661","7.3","0","0","0","0","0","0","0","0","0.5","0.5","0.2","0.7","2","23","1","0.00","0.00","0.00","0.00","0.00","0.07","0.02","0.09","0.07","0.09","Matches","2020/2021","7","0","0.0","0.95","0.00","0.00","","10.6","0","0.07","-0.5","-0.5","440","504","87.3","8388","2661","142","173","82.1","258","272","94.9","37","53","69.8","0.2","-0.2","2","20","1","0","23","6","4","3","3","0","3","3","100.0","0","4","3","1","6","12","27","1"
"Willian","br BRA","FW","Arsenal","31","1988","25","16","1,406","15.6","1","5","6","1","0","0","0","0","1.9","1.9","3.0","5.0","51","78","119","0.06","0.32","0.38","0.06","0.38","0.12","0.19","0.32","0.12","0.32","Matches","2020/2021","20","3","15.0","1.28","0.19","0.05","0.33","19.4","5","0.10","-0.9","-0.9","625","790","79.1","10684","2098","316","345","91.6","220","273","80.6","71","128","55.5","2.3","+2.0","32","34","33","8","78","13","7","6","6","1","6","16","37.5","10","13","0","13","8","21","8","0"
"Joe Willock","eng ENG","MF","Arsenal","20","1999","7","2","238","2.6","0","0","0","0","0","0","1","0","0.3","0.3","0.1","0.3","8","11","13","0.00","0.00","0.00","0.00","0.00","0.10","0.02","0.12","0.10","0.12","Matches","2020/2021","4","0","0.0","1.51","0.00","0.00","","11.6","0","0.07","-0.3","-0.3","68","93","73.1","1009","264","41","46","89.1","24","30","80.0","2","8","25.0","0.3","-0.1","2","6","4","0","11","6","3","1","4","1","3","7","42.9","4","6","1","5","3","9","0","0"
"Joe Willock","eng ENG","MF","Newcastle Utd","20","1999","14","11","978","10.9","8","0","8","8","0","1","0","0","3.9","3.0","0.5","3.5","23","29","34","0.74","0.00","0.74","0.74","0.74","0.36","0.05","0.41","0.28","0.33","Matches","2020/2021","18","12","66.7","1.66","1.10","0.44","0.67","14.2","0","0.17","+4.1","+5.0","179","242","74.0","2751","1103","87","103","84.5","62","82","75.6","13","22","59.1","0.6","-0.5","8","21","7","3","29","26","13","16","7","3","9","42","21.4","33","21","3","18","17","43","15","1"
"Callum Wilson","eng ENG","FW","Newcastle Utd","28","1992","26","23","2,084","23.2","12","5","17","8","4","4","2","0","12.4","9.3","2.8","12.1","42","32","116","0.52","0.22","0.73","0.35","0.56","0.54","0.12","0.66","0.40","0.52","Matches","2020/2021","45","16","35.6","1.94","0.69","0.18","0.50","13.4","0","0.21","-0.4","-1.3","242","359","67.4","2900","595","148","197","75.1","62","90","68.9","5","8","62.5","1.3","+2.2","17","14","13","0","32","12","5","1","6","5","2","12","16.7","10","10","3","7","7","19","14","0"
"Harry Winks","eng ENG","MF","Tottenham","24","1996","15","9","861","9.6","0","0","0","0","0","0","5","0","0.1","0.1","0.2","0.2","9","62","1","0.00","0.00","0.00","0.00","0.00","0.01","0.02","0.02","0.01","0.02","Matches","2020/2021","4","1","25.0","0.42","0.10","0.00","0.00","30.9","0","0.02","-0.1","-0.1","579","683","84.8","9590","2897","272","305","89.2","234","256","91.4","49","81","60.5","0.4","-0.2","4","64","6","1","62","16","9","11","5","0","5","20","25.0","15","16","4","12","11","27","12","1"
"Chris Wood","nz NZL","FW","Burnley","28","1991","33","32","2,741","30.5","12","3","15","10","2","2","0","0","13.0","11.4","1.9","13.4","17","20","217","0.39","0.10","0.49","0.33","0.43","0.43","0.06","0.49","0.38","0.44","Matches","2020/2021","68","37","54.4","2.23","1.21","0.15","0.27","14.1","0","0.17","-1.0","-1.4","425","663","64.1","4824","732","296","428","69.2","88","129","68.2","6","17","35.3","1.2","+1.1","21","31","5","0","20","12","7","2","4","6","5","18","27.8","13","14","3","11","1","13","21","0"
