"Name","Nationality","Pos","Team","Age","YOB","MatchedPlayed","Starts","MinutesPlayed","90s","GoalsAgainst","GoalsAgainst/90","SotAgainst","Saves","SavePercentage","Wins","Draws","Losses","CleanSheets","CleanSheetPercent","PensAttempted","PensAllowed","PensSaved","PensMissed","PenSavePercent","Matches","Season"
"Alex McCarthy","eng ENG","GK","Southampton","32","1989","6","6","540","6.0","17","2.83","30","14","46.7","0","1","5","0","0.0","1","1","0","0","0.0","Matches","2022/2023"
"Edouard Mendy","sn SEN","GK","Chelsea","30","1992","10","9","855","9.5","14","1.47","39","25","64.1","3","2","4","1","11.1","0","0","0","0","","Matches","2022/2023"
"Illan Meslier","fr FRA","GK","Leeds United","22","2000","34","34","3,060","34.0","67","1.97","158","92","59.5","7","9","18","5","14.7","3","3","0","0","0.0","Matches","2022/2023"
"Keylor Navas","cr CRC","GK","Nott'ham Forest","35","1986","17","17","1,529","17.0","32","1.88","83","51","66.3","4","4","9","1","5.9","4","4","0","0","0.0","Matches","2022/2023"
"Neto","br BRA","GK","Bournemouth","33","1989","27","27","2,385","26.5","39","1.47","138","100","74.6","9","6","12","6","22.2","5","4","0","1","0.0","Matches","2022/2023"
"Player","Nation","Pos","Squad","Age","Born","MP","Starts","Min","90s","GA","GA90","SoTA","Saves","Save%","W","D","L","CS","CS%","PKatt","PKA","PKsv","PKm","Save%","Matches","2022/2023"
"Robin Olsen","se SWE","GK","Aston Villa","32","1990","4","2","281","3.1","8","2.56","19","11","63.2","1","0","1","1","50.0","1","1","0","0","0.0","Matches","2022/2023"
"Stefan Ortega","de GER","GK","Manchester City","29","1992","3","3","270","3.0","1","0.33","15","14","93.3","2","1","0","2","66.7","0","0","0","0","","Matches","2022/2023"
"Jordan Pickford","eng ENG","GK","Everton","28","1994","37","37","3,330","37.0","57","1.54","181","123","71.3","7","12","18","8","21.6","6","5","1","0","16.7","Matches","2022/2023"
"Nick Pope","eng ENG","GK","Newcastle Utd","30","1992","37","37","3,261","36.2","32","0.88","118","85","74.6","19","13","5","14","37.8","5","2","2","1","50.0","Matches","2022/2023"
"Aaron Ramsdale","eng ENG","GK","Arsenal","24","1998","38","38","3,420","38.0","43","1.13","136","94","70.6","26","6","6","14","36.8","5","3","0","2","0.0","Matches","2022/2023"
"David Raya","es ESP","GK","Brentford","26","1995","38","38","3,420","38.0","46","1.21","197","154","77.7","15","14","9","12","31.6","2","2","0","0","0.0","Matches","2022/2023"
"Joel Robles","es ESP","GK","Leeds United","32","1990","4","4","360","4.0","11","2.75","27","16","66.7","0","1","3","0","0.0","3","2","0","1","0.0","Matches","2022/2023"
"Marek Rodák","sk SVK","GK","Fulham","25","1996","2","2","180","2.0","2","1.00","4","2","50.0","0","2","0","1","50.0","0","0","0","0","","Matches","2022/2023"
"José Sá","pt POR","GK","Wolves","29","1993","36","36","3,240","36.0","55","1.53","161","105","67.1","11","7","18","11","30.6","4","2","2","0","50.0","Matches","2022/2023"
"Robert Sánchez","es ESP","GK","Brighton","24","1997","23","23","2,070","23.0","30","1.30","74","46","66.2","11","5","7","6","26.1","6","5","1","0","16.7","Matches","2022/2023"
"Jason Steele","eng ENG","GK","Brighton","31","1990","15","15","1,350","15.0","23","1.53","57","36","61.4","7","3","5","6","40.0","2","1","1","0","50.0","Matches","2022/2023"
"Mark Travers","ie IRL","GK","Bournemouth","23","1999","12","11","1,035","11.5","32","2.78","66","36","54.5","2","0","9","2","18.2","2","2","0","0","0.0","Matches","2022/2023"
"Danny Ward","wls WAL","GK","Leicester City","29","1993","26","26","2,340","26.0","46","1.77","119","75","63.0","7","3","16","6","23.1","3","2","1","0","33.3","Matches","2022/2023"
"Joseph Whitworth","eng ENG","GK","Crystal Palace","18","2004","2","2","180","2.0","5","2.50","10","5","50.0","0","0","2","0","0.0","0","0","0","0","","Matches","2022/2023"
"Player","Nation","Pos","Squad","Age","Born","MP","Starts","Min","90s","GA","GA90","SoTA","Saves","Save%","W","D","L","CS","CS%","PKatt","PKA","PKsv","PKm","Save%","Matches","2021/2022"
"Alisson","br BRA","GK","Liverpool","28","1992","36","36","3,240","36.0","24","0.67","99","76","75.8","27","7","2","20","55.6","0","0","0","0","","Matches","2021/2022"
"Alphonse Areola","fr FRA","GK","West Ham","28","1993","1","1","90","1.0","1","1.00","3","2","66.7","0","0","1","0","0.0","0","0","0","0","","Matches","2021/2022"
"Kepa Arrizabalaga","es ESP","GK","Chelsea","26","1994","4","4","360","4.0","2","0.50","13","11","84.6","2","1","1","2","50.0","0","0","0","0","","Matches","2021/2022"
"Daniel Bachmann","at AUT","GK","Watford","27","1994","12","12","1,080","12.0","28","2.33","72","46","65.3","1","0","11","0","0.0","3","3","0","0","0.0","Matches","2021/2022"
"Asmir Begovic","ba BIH","GK","Everton","34","1987","3","3","270","3.0","8","2.67","18","11","61.1","1","0","2","1","33.3","1","1","0","0","0.0","Matches","2021/2022"
"Jack Butland","eng ENG","GK","Crystal Palace","28","1993","9","8","765","8.5","13","1.53","28","16","53.6","2","4","2","1","12.5","1","0","1","0","100.0","Matches","2021/2022"
"Willy Caballero","ar ARG","GK","Southampton","39","1981","2","2","180","2.0","5","2.50","11","6","54.5","0","1","1","0","0.0","0","0","0","0","","Matches","2021/2022"
"Karl Darlow","eng ENG","GK","Newcastle Utd","30","1990","8","8","720","8.0","15","1.87","37","23","64.9","0","5","3","0","0.0","2","2","0","0","0.0","Matches","2021/2022"
"Martin Dúbravka","sk SVK","GK","Newcastle Utd","32","1989","26","26","2,340","26.0","35","1.35","106","72","67.9","13","4","9","8","30.8","1","1","0","0","0.0","Matches","2021/2022"
"Ederson","br BRA","GK","Manchester City","27","1993","37","37","3,330","37.0","26","0.70","83","57","69.9","28","6","3","20","54.1","1","1","0","0","0.0","Matches","2021/2022"
"Lukasz Fabianski","pl POL","GK","West Ham","36","1985","37","37","3,330","37.0","50","1.35","162","111","70.4","16","8","13","8","21.6","6","2","3","1","60.0","Matches","2021/2022"
"Álvaro Fernández","es ESP","GK","Brentford","23","1998","12","12","1,080","12.0","24","2.00","69","47","66.7","3","2","7","1","8.3","1","1","0","0","0.0","Matches","2021/2022"
"Fraser Forster","eng ENG","GK","Southampton","33","1988","19","19","1,710","19.0","35","1.84","101","68","67.3","6","5","8","3","15.8","2","2","0","0","0.0","Matches","2021/2022"
"Ben Foster","eng ENG","GK","Watford","38","1983","26","26","2,340","26.0","49","1.88","116","67","60.3","5","5","16","4","15.4","4","3","1","0","25.0","Matches","2021/2022"
"David de Gea","es ESP","GK","Manchester Utd","30","1990","38","38","3,420","38.0","57","1.50","180","124","70.0","16","10","12","8","21.1","5","3","2","0","40.0","Matches","2021/2022"
"Vicente Guaita","es ESP","GK","Crystal Palace","34","1987","30","30","2,655","29.5","33","1.12","116","83","74.1","9","11","10","11","36.7","3","3","0","0","0.0","Matches","2021/2022"
"Angus Gunn","sct SCO","GK","Norwich City","25","1996","9","9","810","9.0","22","2.44","57","34","64.9","1","2","6","1","11.1","4","2","1","1","33.3","Matches","2021/2022"
"Wayne Hennessey","wls WAL","GK","Burnley","34","1987","2","2","180","2.0","6","3.00","13","8","53.8","0","0","2","0","0.0","0","0","0","0","","Matches","2021/2022"
